Timestamp,Occupancy
2026-02-28 20:45:41.000,280,Estimated
2026-02-28 20:59:13.000,283,Estimated
2026-02-28 17:55:00.000,395,Real
2026-02-28 21:47:07.000,387,Estimated
2026-02-28 21:57:54.000,385,Estimated
2026-02-28 22:31:07.000,382,Estimated
2026-02-28 22:51:48.000,365,Estimated
2026-02-28 23:13:24.000,357,Estimated
2026-02-28 23:36:12.000,352,Estimated
2026-02-28 23:52:23.000,350,Estimated
2026-03-01 01:28:44.000,340,Estimated
2026-03-01 04:07:28.000,333,Estimated
2026-03-01 01:55:00.000,0,Real
2026-03-01 06:08:54.000,0,Estimated
2026-03-01 07:03:51.000,0,Estimated
2026-03-01 07:43:21.000,0,Estimated
2026-03-01 07:58:47.000,0,Estimated
2026-03-01 08:41:15.000,0,Estimated
2026-03-01 09:01:47.000,0,Estimated
2026-03-01 09:39:58.000,0,Estimated
2026-03-01 09:57:25.000,0,Estimated
2026-03-01 10:31:52.000,0,Estimated
2026-03-01 10:54:11.000,0,Estimated
2026-03-01 11:18:47.000,0,Estimated
2026-03-01 11:38:58.000,0,Estimated
2026-03-01 11:52:51.000,0,Estimated
2026-03-01 12:34:20.000,0,Estimated
2026-03-01 13:25:16.000,0,Estimated
2026-03-01 13:54:58.000,0,Estimated
2026-03-01 14:23:55.000,0,Estimated
2026-03-01 14:47:57.000,0,Estimated
2026-03-01 11:25:00.000,0,Real
2026-03-01 15:34:00.000,0,Estimated
2026-03-01 12:10:00.000,12,Real
2026-03-01 16:14:18.000,12,Estimated
2026-03-01 16:46:34.000,12,Estimated
2026-03-01 17:02:22.000,12,Estimated
2026-03-01 17:33:55.000,11,Estimated
2026-03-01 17:52:39.000,10,Estimated
2026-03-01 18:23:41.000,10,Estimated
2026-03-01 18:55:56.000,9,Estimated
2026-03-01 19:24:08.000,8,Estimated
2026-03-01 19:42:15.000,7,Estimated
2026-03-01 19:55:00.000,6,Estimated
2026-03-01 20:26:41.000,6,Estimated
2026-03-01 17:15:00.000,493,Real
2026-03-01 21:11:05.000,492,Estimated
2026-03-01 21:36:31.000,480,Estimated
2026-03-01 21:52:47.000,491,Estimated
2026-03-01 22:17:16.000,509,Estimated
2026-03-01 22:45:00.000,533,Estimated
2026-03-01 19:25:00.000,179,Real
2026-03-01 23:33:35.000,178,Estimated
2026-03-01 23:52:48.000,178,Estimated
2026-03-02 01:25:26.000,175,Estimated
2026-03-02 03:54:49.000,168,Estimated
2026-03-02 05:14:50.000,168,Estimated
2026-03-02 06:08:03.000,166,Estimated
2026-03-02 07:15:45.000,173,Estimated
2026-03-02 07:59:27.000,175,Estimated
2026-03-02 08:56:48.000,170,Estimated
2026-03-02 09:56:14.000,175,Estimated
2026-03-02 10:46:50.000,182,Estimated
2026-03-02 11:23:50.000,188,Estimated
2026-03-02 11:51:33.000,195,Estimated
2026-03-02 12:34:07.000,197,Estimated
2026-03-02 13:44:16.000,191,Estimated
2026-03-02 14:31:21.000,189,Estimated
2026-03-02 15:22:55.000,184,Estimated
2026-03-02 12:20:00.000,116,Real
2026-03-02 17:01:35.000,121,Estimated
2026-03-02 17:55:09.000,115,Estimated
2026-03-02 18:49:45.000,118,Estimated
2026-03-02 19:27:20.000,116,Estimated
2026-03-02 19:58:56.000,115,Estimated
2026-03-02 20:48:06.000,118,Estimated
2026-03-02 17:40:00.000,552,Real
2026-03-02 21:54:23.000,536,Estimated
2026-03-02 22:25:10.000,525,Estimated
2026-03-02 22:54:38.000,536,Estimated
2026-03-02 23:24:19.000,534,Estimated
2026-03-02 23:49:36.000,522,Estimated
2026-03-03 00:57:19.000,526,Estimated
2026-03-03 03:35:22.000,528,Estimated
2026-03-03 05:05:15.000,512,Estimated
2026-03-03 06:02:08.000,487,Estimated
2026-03-03 07:06:49.000,479,Estimated
2026-03-03 07:52:44.000,481,Estimated
2026-03-03 08:32:26.000,487,Estimated
2026-03-03 09:23:29.000,465,Estimated
2026-03-03 10:04:57.000,456,Estimated
2026-03-03 10:57:33.000,433,Estimated
2026-03-03 11:38:54.000,418,Estimated
2026-03-03 08:20:00.000,0,Real
2026-03-03 13:18:59.000,0,Estimated
2026-03-03 14:08:30.000,0,Estimated
2026-03-03 15:04:32.000,0,Estimated
2026-03-03 12:25:00.000,180,Real
2026-03-03 17:01:40.000,183,Estimated
2026-03-03 17:54:10.000,184,Estimated
2026-03-03 18:43:04.000,176,Estimated
2026-03-03 19:29:16.000,170,Estimated
2026-03-03 19:59:46.000,176,Estimated
2026-03-03 20:41:35.000,179,Estimated
2026-03-03 21:05:03.000,172,Estimated
2026-03-03 21:46:58.000,170,Estimated
2026-03-03 22:14:09.000,166,Estimated
2026-03-03 22:49:00.000,164,Estimated
2026-03-03 23:13:18.000,166,Estimated
2026-03-03 23:43:26.000,170,Estimated
2026-03-03 20:25:00.000,380,Real
2026-03-04 02:46:57.000,361,Estimated
2026-03-04 04:23:14.000,361,Estimated
2026-03-04 05:27:52.000,368,Estimated
2026-03-04 06:06:05.000,356,Estimated
2026-03-04 07:04:40.000,370,Estimated
2026-03-04 07:49:13.000,359,Estimated
2026-03-04 08:22:25.000,376,Estimated
2026-03-04 09:02:13.000,378,Estimated
2026-03-04 09:54:35.000,363,Estimated
2026-03-04 10:34:57.000,357,Estimated
2026-03-04 11:06:07.000,356,Estimated
2026-03-04 11:43:37.000,355,Estimated
2026-03-04 12:01:09.000,364,Estimated
2026-03-04 13:18:50.000,372,Estimated
2026-03-04 14:07:20.000,376,Estimated
2026-03-04 14:55:41.000,384,Estimated
2026-03-04 15:42:33.000,402,Estimated
2026-03-04 16:25:15.000,386,Estimated
2026-03-04 17:08:37.000,399,Estimated
2026-03-04 17:56:59.000,406,Estimated
2026-03-04 18:57:59.000,412,Estimated
2026-03-04 19:41:38.000,399,Estimated
2026-03-04 20:04:24.000,390,Estimated
2026-03-04 20:47:29.000,402,Estimated
2026-03-04 21:19:28.000,385,Estimated
2026-03-04 21:53:03.000,389,Estimated
2026-03-04 22:25:38.000,373,Estimated
2026-03-04 22:58:00.000,367,Estimated
2026-03-04 23:38:03.000,358,Estimated
2026-03-04 23:58:21.000,352,Estimated
2026-03-05 02:47:44.000,365,Estimated
2026-03-05 04:27:04.000,361,Estimated
2026-03-05 05:33:05.000,345,Estimated
2026-03-05 06:29:17.000,328,Estimated
2026-03-05 07:26:41.000,334,Estimated
2026-03-05 04:25:00.000,0,Real
2026-03-05 08:56:24.000,0,Estimated
2026-03-05 06:10:00.000,0,Real
2026-03-05 10:25:51.000,0,Estimated
2026-03-05 11:07:06.000,0,Estimated
2026-03-05 11:47:40.000,0,Estimated
2026-03-05 12:28:12.000,0,Estimated
2026-03-05 13:43:39.000,0,Estimated
2026-03-05 14:31:56.000,0,Estimated
